Geo_GEOID,SE_T004_001,SE_T017_001
14000US01097007700,1398,538
14000US01097990000,0,0
14000US01099075600,1177,483
14000US01099075700,1714,669
14000US01099075800,1508,644
14000US01099075900,6133,2196
14000US01099076000,3251,1244
14000US01099076100,6555,2450
14000US01099076200,1637,630
14000US01101000100,418,221
14000US01101000200,1341,419
14000US01101000300,1352,509
14000US01101000400,4228,1568
14000US01101000500,2378,1188
14000US01101000600,1360,586
14000US01101000700,1424,529
14000US01101000900,2300,297
14000US01101001000,1328,441
14000US01101001100,3585,1335
14000US01101001200,1344,607
14000US01101001300,1750,859
14000US01101001400,3457,1492
14000US01101001500,3363,834
14000US01101001600,3403,1588
14000US01101001700,4885,2134
14000US01101001800,3400,1427
14000US01101001900,3146,1443
14000US01101002000,4265,1840
14000US01101002100,4027,1418
14000US01101002201,4282,1575
14000US01101002202,1268,411
14000US01101002300,2437,1024
14000US01101002400,1597,728
14000US01101002500,2648,920
14000US01101002600,5870,2348
14000US01101002700,4235,1699
14000US01101002800,4567,2063
14000US01101002900,8325,3076
14000US01101003000,3160,1189
14000US01101003100,3891,1413
14000US01101003200,6016,2390
14000US01101003301,3590,1543
14000US01101003302,6388,2901
14000US01101005101,3871,1404
14000US01101005102,4954,1748
14000US01101005301,855,250
14000US01101005302,2178,785
14000US01101005402,6291,2594
14000US01101005403,4096,1841
14000US01101005406,9668,3968
14000US01101005407,4377,1932
14000US01101005408,8371,3284
14000US01101005409,2725,1232
14000US01101005410,5345,2493
14000US01101005501,1706,575
14000US01101005502,1959,762
14000US01101005503,5032,1879
14000US01101005504,1121,454
14000US01101005603,7601,2413
14000US01101005604,3366,1360
14000US01101005605,3550,1482
14000US01101005606,4203,1862
14000US01101005607,4409,1642
14000US01101005608,1726,611
14000US01101005609,4518,2070
14000US01101005610,1410,522
14000US01101005611,3813,1476
14000US01101005612,1553,553
14000US01101005700,1431,651
14000US01101005800,2066,914
14000US01101005901,4944,1973
14000US01101005902,3434,1358
14000US01101006000,3621,1386
14000US01101006100,2170,792
14000US01103000100,4108,1661
14000US01103000200,3696,1459
14000US01103000300,2850,1259
14000US01103000400,3932,1709
14000US01103000600,2911,1009
14000US01103000700,3898,1283
14000US01103000800,2979,1253
14000US01103000900,5400,2047
14000US01103001000,3484,1227
14000US01103005101,5445,1929
14000US01103005103,1032,394
14000US01103005105,2316,909
14000US01103005106,5711,2786
14000US01103005107,4528,1636
14000US01103005108,3839,1528
14000US01103005109,4731,1943
14000US01103005200,6518,2442
14000US01103005301,8525,3123
14000US01103005302,3853,1333
14000US01103005303,3871,1662
14000US01103005304,5707,2043
14000US01103005404,5015,1953
14000US01103005405,4860,1970
14000US01103005500,5356,1961
14000US01103005600,6160,2337
14000US01103005701,2733,997
14000US01103005702,6097,2311
14000US01105686800,1104,513
14000US01105687000,5655,1566
14000US01105687100,3097,1119
14000US01107050000,4891,1880
14000US01107050100,3507,1479
14000US01107050200,2036,883
14000US01107050300,4299,1434
14000US01107050400,5309,1942
14000US01109188600,1904,818
14000US01109188700,1556,553
14000US01109188800,2596,1038
14000US01109188900,5893,2284
14000US01109189000,7444,3081
14000US01109189100,6840,2227
14000US01109189200,2995,1112
14000US01109189300,4049,1689
14000US01111000100,3325,1399
14000US01111000200,3072,1081
14000US01111000300,3934,1593
14000US01111000400,5050,1882
14000US01111000500,4907,2017
14000US01111000600,2327,719
14000US01113030200,2626,941
14000US01113030300,3310,1266
14000US01113030401,6152,2354
14000US01113030402,3043,1274
14000US01113030500,2265,920
14000US01113030600,7946,3029
14000US01113030700,3682,1542
14000US01113030800,3288,1393
14000US01113030901,6609,2554
14000US01113030902,10931,3516
14000US01113031000,3489,1370
14000US01113031100,1737,733
14000US01113031200,3558,1441
14000US01115040103,9284,3330
14000US01115040104,5001,2165
14000US01115040105,4490,1581
14000US01115040106,6424,2650
14000US01115040201,5250,1900
14000US01115040203,6606,2697
14000US01115040204,7081,2819
14000US01115040205,5775,2341
